,date,sentiment_score
1,2023-10-11,0.2768619239330291
2,2023-10-12,-0.0639100154240926
3,2023-10-13,-0.0784833908081054
4,2023-10-14,-0.8609037399291992
5,2023-10-15,0.0356429020563761
6,2023-10-16,-0.1348623518020876
7,2023-10-17,-0.3497049395854656
8,2023-10-18,-0.3961649047476904
9,2023-10-19,-0.2726334805289904
10,2023-10-20,-0.0235039353370666
11,2023-10-21,0.3264361619949341
12,2023-10-22,-0.3430995866656303
13,2023-10-23,-0.6567188164462214
14,2023-10-24,-0.3477088809013366
15,2023-10-25,0.3369386065751314
16,2023-10-26,-0.749767381283972
17,2023-10-27,-0.2392235643723431
18,2023-10-28,-0.1470064322153727
19,2023-10-29,0.3349791169166565
20,2023-10-30,-0.3127090871334076
21,2023-10-31,-0.2350461094275764
22,2023-11-01,-0.0986199595711447
23,2023-11-02,0.2167578020266124
24,2023-11-03,-0.4662126328634179
25,2023-11-04,0.1358743707338968
26,2023-11-05,-0.5815661311149597
27,2023-11-06,0.088677110040889
28,2023-11-07,0.1387949303576821
29,2023-11-08,0.2889166013761
30,2023-11-09,-0.3429204406945602
31,2023-11-10,-0.2272540576317731
32,2023-11-11,0.5885890374581019
33,2023-11-12,-0.2728020747502644
34,2023-11-13,0.0076586339208814
35,2023-11-14,0.1756248579305761
36,2023-11-15,-0.5378454208374024
37,2023-11-16,0.2594713247739352
38,2023-11-17,-0.5494083025876213
39,2023-11-18,-0.3863140434026718
40,2023-11-19,-0.2135536670684814
41,2023-11-20,0.1109461944836836
42,2023-11-21,-0.2764459534695274
43,2023-11-22,0.2425531653257516
44,2023-11-23,-0.710115522146225
45,2023-11-24,0.3582733690738678
46,2023-11-25,0.8998914758364359
47,2023-11-26,-0.4650545120239258
48,2023-11-27,0.0716031406606946
49,2023-11-28,-0.0758679050665635
50,2023-11-29,-0.2000477726642902
51,2023-11-30,0.0731150321662426
52,2023-12-01,0.087819938148771
53,2023-12-02,-0.2569285233815511
54,2023-12-03,0.1997461393475532
55,2023-12-04,-0.042146931995045
56,2023-12-05,0.1647227000106464
57,2023-12-06,0.0530214284857114
58,2023-12-07,-0.4273602118094762
59,2023-12-08,0.0338894873857498
60,2023-12-09,0.1701829671859741
61,2023-12-10,0.2775338292121887
62,2023-12-11,-0.0439151088396708
63,2023-12-12,-0.2022338683406511
64,2023-12-13,0.0255715467713095
65,2023-12-14,0.1239766319592793
66,2023-12-15,0.1542847686343723
67,2023-12-16,0.380135715007782
68,2023-12-17,0.580697625875473
69,2023-12-18,-0.5295217820576259
70,2023-12-19,-0.5259864872152155
71,2023-12-20,-0.2041531026363373
72,2023-12-21,-0.5125320085457393
73,2023-12-22,-0.2761810074249903
74,2023-12-23,-0.2368107214570045
75,2023-12-24,0.8585896790027618
76,2023-12-25,0.2783130407333374
77,2023-12-26,-0.6924935115708245
78,2023-12-27,-0.4468034073229759
79,2023-12-28,0.2189231291413307
80,2023-12-29,0.2498323162396749
81,2023-12-30,0.271414836247762
82,2023-12-31,0.168753832578659
83,2024-01-01,0.8221361041069031
84,2024-01-02,-0.7962185101849693
85,2024-01-03,-0.4767536874170656
86,2024-01-04,-0.5961802513511093
87,2024-01-05,-0.6509990856565279
88,2024-01-06,0.0708753407001495
89,2024-01-07,-0.160051961739858
90,2024-01-08,-0.4344804457255772
91,2024-01-09,0.913110762834549
92,2024-01-10,-0.4136728615987868
93,2024-01-11,-0.2770881454149882
94,2024-01-12,-0.1542113862539592
95,2024-01-13,-0.1657035648822784
96,2024-01-14,0.0306515395641326
97,2024-01-15,0.0267265532165765
98,2024-01-16,-0.6626557831962904
99,2024-01-17,-0.8457288146018982
100,2024-01-18,-0.0097684215854954
101,2024-01-19,0.0510288087221292
102,2024-01-20,0.1112473756074905
103,2024-01-21,0.5448419054349264
104,2024-01-22,0.3209032671792166
105,2024-01-23,0.0068642377853393
106,2024-01-24,0.6123168468475342
107,2024-01-25,-0.1198142071564992
108,2024-01-26,0.088936972618103
